index,Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
172,EXPE,127.7,153,0.20895069727602966,0.6487025948103792,0.38864499044792716,0.8982035928143712,0.2928776347923455,0.8483033932135728,0.245809225286504,0.8143712574850299,0.8023952095808383
325,MXIM,87.65,223,0.5650136923105891,0.9321357285429142,0.428425240500527,0.9221556886227544,0.266856280736066,0.810379241516966,0.09076448575885623,0.5069860279441119,0.7929141716566867
272,KSS,41.09,477,-0.0893091438930341,0.2115768463073852,0.5545727803700384,0.9680638722554891,0.8548626427139748,0.996007984031936,0.90288011853525,0.996007984031936,0.7929141716566865
226,HPQ,24.614,796,0.2130160698088964,0.654690618762475,0.4104428908052184,0.9121756487025948,0.25915426537245556,0.7944111776447106,0.24020330176790702,0.8003992015968063,0.7904191616766467
248,IR,45.37,432,0.3360510159481639,0.8083832335329342,0.37410490390704115,0.8822355289421158,0.29156324076487994,0.844311377245509,0.12530869756862245,0.6047904191616766,0.7849301397205589
198,GE,11.075,1770,-0.01557024353944336,0.313373253493014,0.40402435123939034,0.9081836327345308,0.7111569773886168,0.9940119760479043,0.3469580130089558,0.9001996007984032,0.7789421157684631
224,HON,214.58,91,0.2498874417782976,0.7105788423153693,0.34753562557784734,0.8602794411177644,0.2870452210348714,0.8363273453093812,0.1630462525257982,0.7045908183632734,0.7779441117764471
245,IPG,24.04,815,0.12248229134084965,0.5489021956087824,0.2710521065310186,0.7624750499001997,0.362535227783908,0.9081836327345308,0.2878091868533401,0.8542914171656686,0.7684630738522954
384,PVH,93.293,210,-0.09655512758797338,0.20359281437125748,0.4759650929636029,0.9421157684630738,0.4521561442510627,0.9520958083832335,0.5740716774694864,0.9740518962075848,0.7679640718562873
448,TWTR,48.05,408,0.5833629340849632,0.940119760479042,0.38364447364669557,0.8922155688622755,0.2047150728153597,0.6606786427145708,0.11145605315526712,0.5708582834331337,0.7659680638722555
79,CAT,181.87,107,0.3156202087692503,0.7864271457085829,0.3780470575274243,0.8862275449101795,0.2469140339181313,0.7624750499001997,0.13417591870624507,0.624750499001996,0.7649700598802395
489,WRK,45.85,427,0.1142663377637377,0.5409181636726547,0.412537263116454,0.9141716566866268,0.3776644368676911,0.9221556886227544,0.15250425142318927,0.6706586826347305,0.7619760479041916
31,AMD,98.05,199,1.392759701911335,0.996007984031936,0.7852909076285218,0.9900199600798403,0.14700866792754122,0.5169660678642715,0.09722287630451817,0.5269461077844312,0.7574850299401197
66,BKR,21.86,896,0.02375582909379883,0.36926147704590817,0.2601113924269764,0.7465069860279441,0.521263415444973,0.9720558882235529,0.4129469333022127,0.9281437125748504,0.7539920159680639
147,DVA,110.0,178,0.5184200117882567,0.9141716566866268,0.2452319966752115,0.7245508982035928,0.26022268157691497,0.7984031936127746,0.1125410940169939,0.5788423153692615,0.7539920159680639
433,TEL,120.5,162,0.340842851039442,0.810379241516966,0.3409191661202118,0.8562874251497006,0.21855319767725992,0.6946107784431138,0.14254201405931777,0.6467065868263474,0.751996007984032
305,MGM,30.885,634,-0.03495640383799815,0.2894211576846307,0.4269055390657923,0.9201596806387226,0.3115714595488523,0.8662674650698602,0.4027613054312713,0.9261477045908184,0.7504990019960079
111,COTY,7.726,2537,-0.3507285519383251,0.033932135728542916,0.539553854915534,0.9640718562874251,1.0450727574516976,1.0,0.9363562123202386,0.998003992015968,0.749001996007984
34,AMP,198.82,98,0.22798246596574206,0.6826347305389221,0.2854241658606106,0.7884231536926147,0.2742823133841793,0.8203592814371258,0.162296247154715,0.7005988023952097,0.748003992015968
82,CBRE,67.38,291,0.12856187032488686,0.562874251497006,0.22158425466577325,0.6706586826347305,0.3797261064342246,0.9241516966067864,0.2643858893556934,0.8323353293413173,0.7475049900199601
129,DFS,82.58,237,0.012457166841867432,0.3512974051896207,0.3881977476851998,0.8962075848303394,0.4610129317821444,0.9560878243512974,0.2273238910823979,0.778443113772455,0.7455089820359281
